
*
*
* Nachfragesegment: SVGesamt

Matrixkorrektur Verlaufsstatistik

Anzahl relevanter Relationen;856448

;Matrix-Statistiken;;;;;;;"Umlegungs"-Statistiken;;;;;;
;Matrixsumme;maximale Änderung;Quantile der gewichteten relativen Abweichung;;;;;Umlegungswerte außerhalb der Toleranzgrenzen;;GEH-Quantile;;;;
Iteration;;;5%;25%;50%;75%;95%;Anzahl;Fahrten;5%;25%;50%;75%;95%
1;58200.17;2900.00;0.00;0.00;0.00;0.00;0.00;93;108895.00;0.47;3.23;6.42;13.93;32.77
2;475282.68;17572.07;0.12;3124.76;3935.67;4457.87;13369.05;101;107884.00;1.17;2.81;5.97;17.57;221.07
3;954851.04;12197.18;2.32;5277.96;6692.53;7552.18;17191.31;106;120431.00;26.40;37.40;70.35;133.68;288.90
4;984702.94;4103.28;2.76;10.11;5832.20;6511.21;14060.74;106;120431.00;28.61;40.35;77.14;142.09;265.88
5;664539.49;12680.64;0.84;4.64;2156.27;3294.26;6307.75;106;120431.00;18.18;25.53;48.64;87.06;184.55
6;382782.89;8177.03;0.34;0.95;9.47;1113.36;1331.83;106;120431.00;5.63;8.15;13.84;25.45;106.60
7;226655.20;3265.29;0.02;0.43;0.99;9.28;391.45;106;120431.00;1.72;2.43;4.71;9.54;54.22
8;151011.49;1849.85;0.13;0.20;0.70;1.16;104.74;106;120431.00;3.49;4.63;7.15;11.98;21.00
9;111363.16;1348.56;0.12;0.17;0.55;0.90;3.80;105;120255.00;2.48;3.92;5.53;10.40;18.98
10;87110.40;896.32;0.12;0.15;0.40;0.80;2.59;106;120431.00;3.00;3.81;5.49;10.03;18.04
11;72367.11;583.99;0.06;0.15;0.32;0.76;2.10;106;120431.00;2.78;3.58;5.04;9.13;16.60
12;63085.21;374.56;0.05;0.13;0.33;0.73;1.92;106;120431.00;2.44;3.21;4.53;8.18;15.03
13;57409.04;239.26;0.03;0.12;0.30;0.73;1.73;106;120431.00;2.07;2.76;3.84;6.81;12.61
14;54163.81;151.42;0.01;0.10;0.28;0.71;1.68;106;120431.00;1.67;2.26;3.11;5.34;10.14
15;52527.21;93.88;0.05;0.10;0.28;0.70;1.68;106;120431.00;1.26;1.73;2.39;3.91;7.91
16;51895.24;62.25;0.05;0.09;0.27;0.70;1.77;105;120154.00;0.82;1.25;1.76;2.73;5.65
17;51821.21;56.28;0.04;0.10;0.28;0.71;1.76;53;45084.00;0.52;0.83;1.08;1.75;3.34
18;51992.31;44.71;0.02;0.10;0.28;0.72;1.82;10;13902.00;0.18;0.40;0.61;1.05;2.31
19;52216.33;31.02;0.01;0.10;0.29;0.72;1.92;3;1316.00;0.09;0.21;0.42;0.58;1.70
20;52399.95;18.55;0.00;0.11;0.29;0.72;1.95;0;0.00;0.03;0.11;0.29;0.53;1.37
21;52517.24;9.24;0.00;0.11;0.29;0.72;1.96;0;0.00;0.01;0.10;0.30;0.53;1.33
22;52577.32;3.47;0.00;0.11;0.29;0.72;1.97;0;0.00;0.01;0.11;0.28;0.55;1.25
23;52600.26;0.63;0.00;0.11;0.29;0.72;1.97;0;0.00;0.01;0.10;0.28;0.55;1.25
24;52604.08;0.56;0.00;0.11;0.29;0.72;1.97;0;0.00;0.01;0.10;0.28;0.54;1.27
25;52600.62;0.73;0.00;0.11;0.29;0.72;1.96;0;0.00;0.01;0.11;0.29;0.53;1.29
26;52595.95;0.55;0.00;0.11;0.29;0.72;1.96;0;0.00;0.01;0.12;0.29;0.52;1.30
27;52592.38;0.32;0.00;0.11;0.29;0.72;1.96;0;0.00;0.01;0.11;0.29;0.52;1.31


Verlauf der "Umlegungswerte"
Zählobjekt-Nummer;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106
Zählobjekt;Strecke 51843548(3537419->3537420) ;Strecke 51843548(3537420->3537419) ;Strecke 51844399(3078558->3474424) ;Strecke 51844399(3474424->3078558) ;Strecke 51844800(2796359->2994757) ;Strecke 51844800(2994757->2796359) ;Strecke 51845262(2796337->3076246) ;Strecke 51845262(3076246->2796337) ;Strecke 586497678(3162700->3454843) ;Strecke 586497678(3454843->3162700) ;Strecke 586500052(2803672->2905140) ;Strecke 586500052(2905140->2803672) ;Strecke 716720231(3128892->3632704) ;Strecke 716720231(3632704->3128892) ;Strecke 808223120(3386158->3613363) ;Strecke 808223120(3613363->3386158) ;Strecke 826756841(3343448->3620821) ;Strecke 826756841(3620821->3343448) ;Strecke 925123163(2840253->3613380) ;Strecke 925123163(3613380->2840253) ;Strecke 925124117(2848395->2896374) ;Strecke 925124117(2896374->2848395) ;Strecke 925127969(3036704->3076246) ;Strecke 925127969(3076246->3036704) ;Strecke 925128626(3016325->3270952) ;Strecke 925128626(3270952->3016325) ;Strecke 925129607(3196492->3386158) ;Strecke 925129607(3386158->3196492) ;Strecke 925132616(3046489->3356010) ;Strecke 925132616(3356010->3046489) ;Strecke 925135396(2976294->3638913) ;Strecke 925135396(3638913->2976294) ;Strecke 925135433(3137976->3213756) ;Strecke 925135433(3213756->3137976) ;Strecke 925137060(2803453->3085856) ;Strecke 925137060(3085856->2803453) ;Strecke 925137350(2974471->3198835) ;Strecke 925137350(3198835->2974471) ;Strecke 925138003(3628998->3655529) ;Strecke 925138003(3655529->3628998) ;Strecke 925138138(2928011->3365694) ;Strecke 925138138(3365694->2928011) ;Strecke 930000061(2839222->2872462) ;Strecke 930000061(2872462->2839222) ;Strecke 930000064(2893300->2959806) ;Strecke 930000064(2959806->2893300) ;Strecke 930000165(3203732->3504994) ;Strecke 930000165(3504994->3203732) ;Strecke 930000187(3118892->3240544) ;Strecke 930000187(3240544->3118892) ;Strecke 930000193(2839222->3517226) ;Strecke 930000193(3517226->2839222) ;Strecke 930000349(3291693->4244167) ;Strecke 930000349(4244167->3291693) ;Strecke 930000362(2812591->3116825) ;Strecke 930000362(3116825->2812591) ;Strecke 930000391(3526173->3625203) ;Strecke 930000391(3625203->3526173) ;Strecke 930000409(2829257->3404693) ;Strecke 930000409(3404693->2829257) ;Strecke 930000546(3542955->4244177) ;Strecke 930000546(4244177->3542955) ;Strecke 930000653(3589799->4244199) ;Strecke 930000653(4244199->3589799) ;Strecke 930001512(2100000164->2100000170) ;Strecke 930001512(2100000170->2100000164) ;Strecke 930002130(2100000186->2100000188) ;Strecke 930002130(2100000188->2100000186) ;Strecke 930002556(4244245->2100000173) ;Strecke 930002556(2100000173->4244245) ;Strecke 930002596(4244250->4244254) ;Strecke 930002596(4244254->4244250) ;Strecke 930003925(3281869->7000016) ;Strecke 930003925(7000016->3281869) ;Screenline 1 ;Screenline 2 ;Screenline 3 ;Screenline 4 ;Screenline 5 ;Screenline 6 ;Screenline 7 ;Screenline 8 ;Screenline 9 ;Screenline 10 ;Screenline 11 ;Screenline 12 ;Screenline 13 ;Screenline 14 ;Screenline 15 ;Screenline 16 ;Screenline 19 ;Screenline 20 ;Screenline 24 ;Screenline 25 ;Screenline 28 ;Screenline 29 ;Screenline 32 ;Screenline 33 ;Screenline 34 ;Screenline 35 ;Screenline 36 ;Screenline 37 ;Screenline 38 ;Screenline 39 ;Screenline 40 ;Screenline 41 
Zählwert+Toleranz;223.7;155.4;152.3;138.6;413.7;402.1;315.0;304.5;226.8;217.3;254.1;238.3;231.0;232.1;1399.7;1460.5;180.6;156.4;425.3;429.4;2277.4;2277.4;290.9;310.8;239.4;184.8;1221.2;1288.3;580.6;583.8;101.8;104.0;352.8;173.3;171.2;217.3;1705.2;1705.2;6176.1;6176.1;4193.7;4193.7;279.3;345.4;233.1;225.8;143.8;150.2;453.6;452.6;325.5;308.7;1078.3;1142.4;374.9;315.0;1584.5;1717.8;1230.6;1409.1;681.5;625.8;2226.0;2227.1;235.2;235.2;134.4;180.6;125.0;122.8;317.1;299.3;205.8;218.4;1884.8;2163.0;1326.2;1336.7;3398.8;3395.7;7293.3;7352.1;1137.2;1139.3;488.3;485.1;463.1;504.0;1478.4;1522.5;1398.6;1400.7;4740.8;4981.2;4126.5;4475.1;233.1;471.4;2053.8;2121.0;158.6;153.3;815.9;819.0;727.6;721.4
Zählwert;213.0;148.0;145.0;132.0;394.0;383.0;300.0;290.0;216.0;207.0;242.0;227.0;220.0;221.0;1333.0;1391.0;172.0;149.0;405.0;409.0;2169.0;2169.0;277.0;296.0;228.0;176.0;1163.0;1227.0;553.0;556.0;97.0;99.0;336.0;165.0;163.0;207.0;1624.0;1624.0;5882.0;5882.0;3994.0;3994.0;266.0;329.0;222.0;215.0;137.0;143.0;432.0;431.0;310.0;294.0;1027.0;1088.0;357.0;300.0;1509.0;1636.0;1172.0;1342.0;649.0;596.0;2120.0;2121.0;224.0;224.0;128.0;172.0;119.0;117.0;302.0;285.0;196.0;208.0;1795.0;2060.0;1263.0;1273.0;3237.0;3234.0;6946.0;7002.0;1083.0;1085.0;465.0;462.0;441.0;480.0;1408.0;1450.0;1332.0;1334.0;4515.0;4744.0;3930.0;4262.0;222.0;449.0;1956.0;2020.0;151.0;146.0;777.0;780.0;693.0;687.0
Zählwert-Toleranz;202.3;140.6;137.8;125.4;374.3;363.9;285.0;275.5;205.2;196.7;229.9;215.7;209.0;209.9;1266.3;1321.5;163.4;141.6;384.8;388.6;2060.6;2060.6;263.1;281.2;216.6;167.2;1104.8;1165.7;525.4;528.2;92.2;94.0;319.2;156.8;154.8;196.7;1542.8;1542.8;5587.9;5587.9;3794.3;3794.3;252.7;312.6;210.9;204.3;130.2;135.8;410.4;409.4;294.5;279.3;975.6;1033.6;339.1;285.0;1433.5;1554.2;1113.4;1274.9;616.5;566.2;2014.0;2015.0;212.8;212.8;121.6;163.4;113.0;111.2;286.9;270.8;186.2;197.6;1705.3;1957.0;1199.8;1209.3;3075.2;3072.3;6598.7;6651.9;1028.8;1030.8;441.8;438.9;418.9;456.0;1337.6;1377.5;1265.4;1267.3;4289.3;4506.8;3733.5;4048.9;210.9;426.6;1858.2;1919.0;143.4;138.7;738.1;741.0;658.4;652.6
Iteration
1;293.79;209.75;142.25;159.26;280.38;366.25;394.06;385.68;85.30;97.28;202.73;265.91;318.88;237.97;588.05;1002.22;275.76;215.51;465.94;595.58;2038.35;2049.49;385.68;394.06;150.07;175.26;1173.00;1142.70;47.27;46.89;98.46;94.25;525.80;419.19;99.59;56.54;1402.23;1390.26;6199.76;6231.02;4206.69;4186.56;441.34;439.77;559.23;525.24;97.83;96.95;1105.40;1114.43;252.81;244.31;993.11;880.81;659.75;645.03;1433.45;1272.52;1618.01;1931.79;660.99;763.42;1525.32;1522.63;116.37;135.62;82.46;80.03;68.85;64.60;248.38;224.44;110.08;110.03;3889.69;3898.81;1138.12;1187.88;7281.97;7087.36;10025.67;10025.67;2125.77;2118.85;448.83;504.99;617.58;475.06;1351.11;1395.87;1594.89;1599.38;5828.81;5746.69;2678.79;3325.18;291.25;394.98;2961.56;3670.66;243.38;273.60;358.37;363.41;885.08;888.04
2;232.65;161.31;181.44;192.35;487.87;417.02;383.05;384.10;369.93;301.15;273.92;288.26;242.80;231.27;2153.18;1624.54;210.88;180.19;448.23;564.10;2231.41;2225.87;384.10;383.05;3755.82;15405.46;1650.37;1535.30;198390.07;215489.38;112.90;112.61;405.41;263.67;209.95;712.99;1714.21;1711.62;6240.47;6200.48;4008.26;4042.71;357.05;444.55;366.57;367.98;152.67;160.81;674.67;622.16;337.77;317.78;1199.72;1353.87;506.54;412.69;1931.47;2574.68;1497.05;1684.66;686.92;683.86;10964.41;2432.96;25254.27;11614.05;7943.66;12730.46;24789.95;14632.11;340.91;9450.25;250.10;269.85;2627.78;2858.71;1538.27;1431.72;5387.77;5092.02;9292.26;9046.53;1639.13;1746.21;490.17;487.43;502.76;565.37;1629.54;1618.98;50070.26;64367.27;6609.33;6311.50;4619.43;5057.56;258.80;539.21;2534.51;2705.78;181.09;200.11;8933.32;7527.41;999.76;985.06
3;988.22;687.74;693.54;652.32;1829.74;1742.45;1423.48;1376.33;1109.21;1006.21;1111.03;1083.15;1023.13;1017.55;6697.31;6416.58;814.95;702.27;1885.76;2021.88;9787.89;9796.93;1376.33;1423.48;6979.57;26476.46;5699.63;5902.56;335409.11;364226.81;452.49;459.09;1551.61;835.26;760.93;1612.65;7629.58;7651.48;27623.75;27622.38;18018.58;18028.99;1318.90;1641.24;1196.84;1195.62;623.28;649.80;2171.13;2115.63;1423.96;1361.75;4835.76;5130.45;1778.87;1465.96;7224.65;8358.41;5644.23;6444.13;2951.48;2750.36;24621.88;9727.41;43232.03;20236.73;13759.11;21998.00;42087.32;24983.95;1391.46;16754.43;920.81;970.81;9172.45;10212.08;5938.43;5912.48;17322.21;16733.75;33681.10;33870.64;5485.98;5625.91;2140.58;2131.21;2070.70;2266.12;6590.68;6731.49;88032.84;112210.98;23156.79;23090.22;17931.12;19638.13;1053.72;2085.08;9367.48;9778.19;703.54;706.68;17525.56;15128.25;3454.24;3416.27
4;1107.38;769.27;765.83;709.63;1979.17;1894.94;1550.36;1495.62;1169.01;1076.13;1221.01;1177.86;1120.85;1107.22;6992.65;6837.72;891.43;767.08;2060.59;2174.36;10381.79;10425.37;1495.62;1550.36;6404.78;22733.25;5950.29;6218.17;283298.95;307460.27;482.88;490.10;1671.41;896.79;825.46;1595.57;7959.19;8031.82;29491.17;29507.45;19361.20;19388.51;1421.88;1771.92;1272.32;1278.41;674.34;698.12;2370.64;2384.88;1598.34;1524.21;5399.87;5616.01;1958.67;1603.80;7656.34;8771.68;6075.24;6983.73;3234.41;3000.44;23991.68;10267.94;37149.60;17614.95;11906.39;19070.69;35701.24;21322.68;1528.97;14835.31;997.26;1057.55;10267.42;11304.43;6530.38;6579.85;18681.83;18017.11;36778.97;36888.05;5909.41;5991.38;2371.68;2369.58;2281.31;2475.20;7287.28;7429.19;76738.12;97304.62;24831.37;24702.70;19215.27;21319.37;1184.44;2265.37;10174.55;10770.27;762.56;759.99;17018.80;14877.80;3824.12;3774.91
5;697.50;485.78;477.87;439.22;1212.49;1163.81;951.78;917.13;700.79;651.16;761.26;729.84;689.39;679.04;4157.58;4126.10;552.72;473.78;1270.98;1325.39;6225.29;6270.61;917.13;951.78;3423.81;11312.46;3515.42;3691.12;136925.83;148394.55;291.16;295.58;1023.99;544.85;508.13;911.29;4687.66;4748.69;17748.75;17730.62;11707.66;11771.12;875.61;1085.46;773.39;775.60;412.85;425.91;1465.65;1500.47;1012.13;951.96;3440.99;3530.07;1221.13;1005.73;4607.21;5224.35;3735.54;4290.43;1986.19;1845.01;13674.75;6164.30;18523.39;8909.19;5976.41;9595.27;17382.40;10488.87;946.06;7705.05;610.15;646.40;6423.91;7034.11;4098.93;4157.11;11402.37;11014.52;22716.41;22699.62;3600.58;3632.12;1488.08;1487.65;1404.80;1521.03;4540.58;4610.34;38805.48;49125.23;15118.62;15054.69;11711.74;13114.15;744.14;1393.98;6219.89;6682.66;467.07;463.92;9712.30;8563.76;2380.14;2341.65
