activity,group,nact,rate
A,AZ,A,0.06082357313451038
A,AZ,B,0.06887169262048906
A,AZ,O,0.04392722971534947
A,AZ,R,0.05412966662919216
A,AZ,V,0.08056605212462958
A,ST,A,0.02719952352707135
A,EWm,A,0.1166019785209372
A,EWm,B,0.02505373530150638
A,EWm,E,0.021230211044173043
A,EWm,F,0.017311062938159077
A,EWm,G,0.010368397358817496
A,EWm,K,0.027740783294359514
A,EWm,M,0.013173200390938434
A,EWm,O,0.02734932599447577
A,EWm,R,0.0346052848469364
A,EWm,S,0.016785081543640282
A,EWm,V,0.03496979128281945
A,RJm,B,0.0072289091864262064
A,EWf,A,0.08621383010450247
A,EWf,B,0.021712919263271117
A,EWf,E,0.028093022974957187
A,EWf,F,0.01248019354942537
A,EWf,G,0.022638533584350595
A,EWf,K,0.0707390974257767
A,EWf,M,0.017272819343223774
A,EWf,O,0.01824048785338789
A,EWf,R,0.02032596558378063
A,EWf,S,0.01287619365887519
A,EWf,T,0.006373125370776415
A,EWf,V,0.042060989755964735
B,KI,B,0.02610380487180916
B,GS,B,0.025774305830106946
B,MS,B,0.04519312934718805
B,NEm,B,0.44736150135799574
B,EWm,B,0.01488468674582807
B,EWm,E,0.0075883412051311215
B,EWm,O,0.010253480641055466
B,EWm,R,0.00573113786450875
B,EWm,S,0.007838824947472726
B,EWm,V,0.010755272188103742
B,RJm,B,0.061998994318156114
B,RJm,F,0.012611575750352412
B,RJm,V,0.02051208851683107
B,RAm,B,0.04170519685561953
B,NEf,B,0.04505662540112295
B,NEf,V,0.04322337399689228
B,EWf,B,0.022687239533306355
B,EWf,E,0.0176598592456601
B,EWf,O,0.01202700141052186
B,EWf,S,0.010575751436158033
B,EWf,V,0.022751187936022883
B,RJf,B,0.07437441401003317
B,RJf,F,0.018816433632470406
B,RJf,V,0.015714132788503914
B,RAf,B,0.04916074198877613
E,ST,E,0.03846570041178954
E,EWm,E,0.007021482222244609
E,EWm,O,0.006357502593915521
E,EWm,V,0.0037554912829326857
E,RJm,E,0.049548832640472
E,RJm,O,0.01996723178191022
E,RJm,V,0.03521713761030762
E,RAm,V,0.04407432966794931
E,NEf,E,0.06098303483951506
E,EWf,E,0.013140609945527773
E,EWf,O,0.00599679121255122
E,EWf,V,0.006388453923158888
E,RJf,E,0.04451739922162767
E,RJf,O,0.014890047597780124
E,RJf,V,0.02635966438020302
E,RAf,V,0.03679120952356141
F,KI,F,0.02082970811592691
F,EWm,B,0.010407773250217103
F,EWm,E,0.0037152315805969055
F,EWm,F,0.011584624864635207
F,EWm,O,0.006258495676798445
F,EWm,V,0.007376650324592466
F,RJm,B,0.04359867080722698
F,RJm,F,0.03649501524210767
F,RAm,B,0.03835073887879348
F,NEf,B,0.031697923691283846
F,NEf,F,0.07023489598728122
