group_generation,code,Wege,activity,group_dest_mode,group_erzeugung,rate
OSePM,WAW,0.11430533848252915,N,OSeP,OS,0.057152669241264574
OSePW,WAW,0.11430533848252915,N,OSeP,OS,0.057152669241264574
OShPM,WAW,0.11430533848252915,N,OShP,OS,0.057152669241264574
OShPW,WAW,0.11430533848252915,N,OShP,OS,0.057152669241264574
OSoPM,WAW,0.11430533848252915,N,OSoP,OS,0.057152669241264574
OSoPW,WAW,0.11430533848252915,N,OSoP,OS,0.057152669241264574
OSePM,WBW,0.24134972296126,N,OSeP,OS,0.12067486148063
OSePW,WBW,0.24134972296126,N,OSeP,OS,0.12067486148063
OShPM,WBW,0.24134972296126,N,OShP,OS,0.12067486148063
OShPW,WBW,0.24134972296126,N,OShP,OS,0.12067486148063
OSoPM,WBW,0.24134972296126,N,OSoP,OS,0.12067486148063
OSoPW,WBW,0.24134972296126,N,OSoP,OS,0.12067486148063
OSePM,WEW,0.07407165796710419,N,OSeP,OS,0.037035828983552094
OSePW,WEW,0.07407165796710419,N,OSeP,OS,0.037035828983552094
OShPM,WEW,0.07407165796710419,N,OShP,OS,0.037035828983552094
OShPW,WEW,0.07407165796710419,N,OShP,OS,0.037035828983552094
OSoPM,WEW,0.07407165796710419,N,OSoP,OS,0.037035828983552094
OSoPW,WEW,0.07407165796710419,N,OSoP,OS,0.037035828983552094
OSePM,WFW,0.14910960610679394,N,OSeP,OS,0.07455480305339697
OSePW,WFW,0.14910960610679394,N,OSeP,OS,0.07455480305339697
OShPM,WFW,0.14910960610679394,N,OShP,OS,0.07455480305339697
OShPW,WFW,0.14910960610679394,N,OShP,OS,0.07455480305339697
OSoPM,WFW,0.14910960610679394,N,OSoP,OS,0.07455480305339697
OSoPW,WFW,0.14910960610679394,N,OSoP,OS,0.07455480305339697
OSePM,WMW,0.8245532554437047,N,OSeP,OS,0.4122766277218524
OSePW,WMW,0.8245532554437047,N,OSeP,OS,0.4122766277218524
OShPM,WMW,0.8245532554437047,N,OShP,OS,0.4122766277218524
OShPW,WMW,0.8245532554437047,N,OShP,OS,0.4122766277218524
OSoPM,WMW,0.8245532554437047,N,OSoP,OS,0.4122766277218524
OSoPW,WMW,0.8245532554437047,N,OSoP,OS,0.4122766277218524
OSePM,WOW,0.09919704503529857,N,OSeP,OS,0.049598522517649284
OSePW,WOW,0.09919704503529857,N,OSeP,OS,0.049598522517649284
OShPM,WOW,0.09919704503529857,N,OShP,OS,0.049598522517649284
OShPW,WOW,0.09919704503529857,N,OShP,OS,0.049598522517649284
OSoPM,WOW,0.09919704503529857,N,OSoP,OS,0.049598522517649284
OSoPW,WOW,0.09919704503529857,N,OSoP,OS,0.049598522517649284
OSePM,WRW,0.02532887562211529,N,OSeP,OS,0.012664437811057644
OSePW,WRW,0.02532887562211529,N,OSeP,OS,0.012664437811057644
OShPM,WRW,0.02532887562211529,N,OShP,OS,0.012664437811057644
OShPW,WRW,0.02532887562211529,N,OShP,OS,0.012664437811057644
OSoPM,WRW,0.02532887562211529,N,OSoP,OS,0.012664437811057644
OSoPW,WRW,0.02532887562211529,N,OSoP,OS,0.012664437811057644
OSePM,WSW,0.3543471046139328,N,OSeP,OS,0.1771735523069664
OSePW,WSW,0.3543471046139328,N,OSeP,OS,0.1771735523069664
OShPM,WSW,0.3543471046139328,N,OShP,OS,0.1771735523069664
OShPW,WSW,0.3543471046139328,N,OShP,OS,0.1771735523069664
OSoPM,WSW,0.3543471046139328,N,OSoP,OS,0.1771735523069664
OSoPW,WSW,0.3543471046139328,N,OSoP,OS,0.1771735523069664
OSePM,WTW,0.02480620707025654,N,OSeP,OS,0.01240310353512827
OSePW,WTW,0.02480620707025654,N,OSeP,OS,0.01240310353512827
OShPM,WTW,0.02480620707025654,N,OShP,OS,0.01240310353512827
OShPW,WTW,0.02480620707025654,N,OShP,OS,0.01240310353512827
OSoPM,WTW,0.02480620707025654,N,OSoP,OS,0.01240310353512827
OSoPW,WTW,0.02480620707025654,N,OSoP,OS,0.01240310353512827
OSePM,WVW,0.05069236242079545,N,OSeP,OS,0.02534618121039772
OSePW,WVW,0.05069236242079545,N,OSeP,OS,0.02534618121039772
OShPM,WVW,0.05069236242079545,N,OShP,OS,0.02534618121039772
OShPW,WVW,0.05069236242079545,N,OShP,OS,0.02534618121039772
OSoPM,WVW,0.05069236242079545,N,OSoP,OS,0.02534618121039772
OSoPW,WVW,0.05069236242079545,N,OSoP,OS,0.02534618121039772
OSePM,WZW,0.17304819436337998,N,OSeP,OS,0.08652409718168999
OSePW,WZW,0.17304819436337998,N,OSeP,OS,0.08652409718168999
OShPM,WZW,0.17304819436337998,N,OShP,OS,0.08652409718168999
OShPW,WZW,0.17304819436337998,N,OShP,OS,0.08652409718168999
OSoPM,WZW,0.17304819436337998,N,OSoP,OS,0.08652409718168999
OSoPW,WZW,0.17304819436337998,N,OSoP,OS,0.08652409718168999
OSePM,WMBW,0.3009179631418958,N,OSeP,OS,0.10030598771396526
OSePW,WMBW,0.3009179631418958,N,OSeP,OS,0.10030598771396526
OShPM,WMBW,0.3009179631418958,N,OShP,OS,0.10030598771396526
OShPW,WMBW,0.3009179631418958,N,OShP,OS,0.10030598771396526
OSoPM,WMBW,0.3009179631418958,N,OSoP,OS,0.10030598771396526
OSoPW,WMBW,0.3009179631418958,N,OSoP,OS,0.10030598771396526
OSePM,WMMW,0.2094834400297601,N,OSeP,OS,0.06982781334325337
OSePW,WMMW,0.2094834400297601,N,OSeP,OS,0.06982781334325337
OShPM,WMMW,0.2094834400297601,N,OShP,OS,0.06982781334325337
OShPW,WMMW,0.2094834400297601,N,OShP,OS,0.06982781334325337
OSoPM,WMMW,0.2094834400297601,N,OSoP,OS,0.06982781334325337
OSoPW,WMMW,0.2094834400297601,N,OSoP,OS,0.06982781334325337
