"id","zone_name"
504309,"Eckernförde - Borby Nord"
504318,"Eckernförde - Ostlandstraße"
270123,"Meimersdorf Neubaugebiet West"
270102,"Meimersdorf West Am Reeben"
20003,"Schwedenkai"
60013,"ZIP"
210208,"Specken"
515801,"Tackesdorf"
400401,"Behrensdorf(Ostsee)"
60002,"UKSH Nord"
406213,"Preetz - Süd Schulen"
406232,"Preetz - Krankenhaus"
406231,"Preetz - Kieler Straße Supermärkte"
406233,"Preetz - Berufsschule Nord"
406234,"Preetz - Wilhelm-Raabe-Straße"
406235,"Preetz - Sudetenstraße"
406236,"Preetz - Albert-Einstein-Straße"
406237,"Preetz - Pohnsdorfer Straße"
406230,"Preetz - Mitte"
402401,"Großharrie"
400901,"Bösdorf"
401701,"Dörnick"
403001,"Hohwacht(Ostsee)"
503501,"Bünsdorf"
505101,"Felm"
60003,"Kiellinie"
60005,"Forstweg Süd"
70005,"Schauspielhaus"
80103,"Hebbelschule"
405501,"Panker"
515701,"Strande"
100009,"Metzstraße Nord"
100019,"Eichhofstraße"
110505,"Hummelwiese"
120101,"Halle 400"
130407,"Max Bahr Gaarden"
200002,"Skagerrakufer"
220107,"Hermann-Löns-Schule"
260006,"Johann-Heuck-Straße"
270202,"Lütt Steenbusch"
280105,"Meimersdorfer Moor Eisenbahnergärten"
400701,"Blekendorf"
400501,"Belau"
400801,"Bönebüttel"
405201,"Mucheln"
402601,"Helmstorf"
403801,"Kletkamp"
404201,"Kühren"
405001,"Martensrade"
509211,"Kronshagen Aubrücke"
406501,"Rantzau"
406801,"Rendswühren"
406901,"Ruhwinkel"
407001,"Schellhorn"
407101,"Schillsdorf"
501801,"Blumenthal"
504201,"Dörphof"
504701,"Elsdorf-Westermühlen"
506401,"Groß Buchwald"
506801,"Haale"
507001,"Hamdorf"
507601,"Hoffeld"
507801,"Hohn"
508001,"Holtsee"
509601,"Lindau"
509901,"Loose"
510001,"Lütjenwestedt"
510901,"Negenharrie"
511001,"Neudorf-Bornstein"
511101,"Neu Duvenstedt"
512102,"Osdorf OT Borghorst-Austerlitz-Stubbendorf"
513701,"Rieseby Ort"
513901,"Rumohr"
515201,"Sehestedt"
516401,"Todenbüttel"
517203,"Westerrönfeld Nordwest"
600014,"Neumünster Tungendorf West"
517501,"Ahlefeld-Bistensee"
600004,"Neumünster Gadeland Nord"
1105101,"Dithmarschen Süd"
1105105,"Osterrade/Bunsloh"
1105110,"Dellstedt/Tielenhemme"
1105301,"Kreis Herzogtum Lauenburg"
1105508,"Malente Land"
1105513,"Fehmarn/Heiligenhafen"
1105602,"Elmshorn-Pinneberg"
1105901,"Erfde/Tielen"
1105903,"Tetenhusen"
1105907,"Schleswig Bahnhof / Friedrichsberg"
1105913,"Kappeln"
1106013,"Großenaspe"
504320,"Eckernförde - Imland Klinik"
10006,"Alter Markt"
10007,"Ostseekai"
10008,"Küterstraße"
10009,"Haßstraße"
10010,"Schloss"
10011,"WQ Alte Feuerwache"
280411,"Moorsee Industriegebiet Süd"
10012,"Ratsdienergarten"
10001,"Bootshafen"
10002,"Flämische Straße"
10003,"Nordlicht"
10004,"Kehdenstraße"
10005,"NDR"
20001,"Sophienhof"
20002,"ZOB"
20004,"Schülperbaum"
20005,"Holstenstraße Süd"
20006,"Neues Rathaus"
20007,"Lange Reihe"
20008,"Sparkassen-Arena"
20009,"Hafenstraße"
20010,"KN"
20011,"Kleiner Kuhberg"
20012,"Standesamt Kiel"
20013,"Rathaus"
30001,"Kirchhofallee"
30002,"Prüne"
30003,"Schützenpark"
30004,"Exer"
30005,"Stiftstraße"
30006,"Waisenhofstraße"
30007,"Jungfernstieg"
30008,"Fleethörn"
30009,"Damperhofstraße"
40001,"Hiroshimapark"
40002,"Legienstraße"
40003,"Philosophengang"
40004,"Bergstraße"
40005,"Lorentzendamm"
40006,"Brunswiker Straße"
40007,"Jägersberg"
40008,"Teichstraße"
50001,"Preußerstraße"
50002,"Langer Segen"
50003,"Gerhardstraße"
70013,"Geigerstraße"
50004,"Jungmannstraße"
50005,"Gelehrtenschule"
50006,"Holtenauer Straße"
50007,"Adolfstraße"
50008,"Schwesterngang"
50009,"Droyerstraße"
50010,"Waitzstraße"
50011,"Lornsenstraße"
60001,"UKSH Süd"
60004,"Reventlouallee"
60006,"Sporthafen Blücherbrücke"
60007,"Luisenweg"
60008,"Moltkestraße Süd"
60009,"Düsternbrooker Gehölz"
60010,"Moltkestraße"
60011,"Niemannsweg"
60012,"Sporthafen Düsternbrook"
60014,"Diedrichsenpark"
60015,"Forstbaumschule"
70001,"Beselerallee Mitte"
70002,"Beselerallee Ost"
70003,"Beselerallee West"
70004,"Forstweg"
70006,"Düppelstraße"
70007,"Adolfplatz"
70008,"Wrangelstraße Ost"
70009,"Gneisenaustraße"
70010,"Blücherplatz"
70011,"Bülowstraße"
70012,"Schlieffenallee"
80101,"Eduard-Adler-Straße"
80102,"Quinckestraße"
80104,"Hansenstraße"
80105,"Projensdorfer Straße"
80106,"Mercatorstraße"
80107,"Orchideenwiese"
80108,"Achterkamp"
80201,"Timm-Kröger-Schule"
80202,"Landesbehörde"
80203,"REWE Wik"
80204,"Wiker Straße"
80205,"Tirpitzhafen"
80206,"Flensburger Straße"
80207,"Knorrstraße"
80208,"Famila Wik"
80209,"Wirtschaftsakademie SH"
80210,"Scheerhafen"
80211,"Auberg"
80212,"Schleusenpark Wiker Balkon"
80213,"Nordhafen"
80301,"Johann-Felck-Straße"
80302,"Bremerskamp"
80303,"Klausbrook"
80304,"Holsteinstadion"
80305,"Lubinus Klinikum"
80306,"RBZ Steenbek"
80401,"Steenbeker Weg"
80402,"H-Ehlers-Akademie"
80403,"Gurlittplatz"
80404,"Autohaus Nord GmbH"
80405,"Charles-Roß-Ring"
80406,"BHKW Projensdorf"
80407,"Bremannsrade"
80408,"Ernst-Barlach-Gymnasium"
80409,"Frerich-Frerichs-Allee"
80410,"Manrade"
80411,"Kieler Koppel"
80501,"Projensdorf Nordhafen"
80502,"Projensdorfer Gehölz"
90101,"Saldernstraße"
90102,"Ahlmannstraße"
90103,"Klotzstraße"
90104,"Alsenstraße"
90105,"Schauenburgerstraße West"
90106,"Hansastraße"
90107,"Franckestraße"
90108,"Bremerstraße"
90109,"Brauereiviertel"
90110,"Ravensberg"
90111,"Hardenbergstraße"
90201,"CAU KITZ und Studentenwohnen"
90202,"Grasweg"
90203,"CAU Hauptcampus"
90204,"CAU 2"
90205,"Nordfriedhof"
90301,"Nordmarksportfeld"
90302,"CAU Sportforum"
90303,"CAU Pädagogik"
90304,"CAU Physikzentrum"
100001,"Friedrich-Junge-Schule"
100002,"Metzstraße Süd"
110516,"Lutherstraße"
100003,"Städtisches Krankenhaus"
100004,"Wilhelmplatz"
100005,"Kantstraße"
100006,"Weißenburgstraße"
100007,"Arndtplatz"
100008,"Telekom"
100010,"Humboldtschule"
100011,"Geibelplatz"
100012,"Schrevenpark"
120209,"Elisabethstraße"
100013,"Sedanstraße"
100014,"Lessingplatz"
100015,"Eichkamp"
100016,"Prof-Peters-Platz"
100017,"Gartenkolonie OPD"
100018,"Max Bahr"
100020,"Eichhof"
110201,"Knickweg"
110301,"MHKW"
120210,"Stoschstraße"
110302,"Plaza"
110303,"Stadtrade"
110401,"Zum Brook"
110402,"Adolf-Westphal-Straße"
110403,"Hörn"
110501,"Gleisanlagen"
110502,"Sophienblatt Süd"
110503,"Johann-Meyer-Straße"
110504,"Schulen Winterbeker Weg"
120211,"Katzheide"
110506,"Südfriedhof"
110507,"Hbf"
110508,"Schröpfecke"
110509,"Finanzamt Kiel Süd"
110510,"Bahnhofskai"
110511,"IKEA"
110512,"Michelsenstraße"
110513,"Calvinstraße"
110514,"Hopfenstraße"
110515,"Papenkamp"
120212,"Gustav-Schatz-Hof"
110517,"Von-der-Tann-Straße"
110518,"Harmsstraße"
110519,"Lüdemannstraße"
110520,"Boninstraße"
110601,"Möbel Kraft"
110602,"Zastrowstraße"
110603,"Schützenwall"
110604,"Chemnitzstraße"
120102,"Norwegenkai - Germaniahafen"
120103,"HDW"
120201,"Greifstraße"
120202,"Iltisstraße"
120203,"Preetzer Straße Süd"
120204,"Ida-Hinz-Park"
120205,"Röntgenstraße"
120206,"Kirchenweg"
120207,"Geschwister-Scholl-Straße"
120208,"KVG"
120213,"Ernestinenstraße"
120214,"Karlstal"
120215,"Pastor-Gosch-Weg"
120216,"Jägerstraße"
120217,"Werftpark"
120218,"CAU Techn. Fakultät"
120219,"Sandkrug"
130101,"Stormarnstraße"
130201,"Meimersdorfer Weg"
140406,"Wulfsbrook"
130202,"KI-Schulensee"
130203,"Baumweg"
130204,"Krummbogen"
130205,"Kl.garten Kronsburg"
130206,"KGV Kiel-Hassee"
130207,"Hofteichstraße"
130208,"Diesterwegstraße"
130209,"Tonberg"
130210,"Krusenrotter Weg"
130301,"Kronsburg"
130302,"Poppenbrücker Weg"
130406,"Oldenburger Straße"
130303,"Gehege Kronsburg"
130401,"GewGeb Segeberger Lstr. Mitte"
130402,"An der Kleinbahn"
130403,"GewGeb Segeberger Lstr. West"
